2FI1204,2PI1211,2FIC1201,2K-167A,2K-167,2K-169,2PI1301,2PI1212,2K175,2FI1203,2LIAS3250
36.19955063,36.05028915,36.19396591,-1.510451794,47.26700592,-0.247395322,48.82326126,33.3597908,39.32892609,2.492138624,-1.418261766
33.27937317,35.5015564,28.67524338,-1.509992361,33.66622543,-0.246527657,50.43758392,32.79751205,35.74251175,2.303066015,31.76105499
32.26043701,35.25716019,32.14356232,-1.509532928,40.53452682,-0.25643295,49.81122208,32.67572021,31.94843674,2.087262392,9.493847847
32.67645645,35.26033401,29.93834114,-1.509073496,39.39720154,-0.242116868,48.59207535,32.75450516,31.27628517,2.065571785,9.352695465
32.91256332,35.11248779,28.32788086,-1.508614063,41.11192322,-0.256559372,48.3654747,32.61148453,32.12628174,2.047050238,0.492269129
33.23960495,35.27857208,28.53530121,-1.508062601,40.68286896,-0.258563697,47.71628189,32.81259537,30.49435234,2.054080009,6.941790581
32.10284424,34.81928635,30.93475723,-1.50714314,40.69010162,-0.253182858,49.68804169,32.33519363,29.71380806,1.842071414,-0.560723245
31.40241241,34.84063721,31.39201736,-1.506223559,39.38179016,-0.252059132,52.18258286,32.24361801,30.94664764,2.042850733,5.031608582
37.499897,35.87966537,37.51216888,-1.505303979,45.15697098,-0.246799305,51.32151031,33.35119247,35.40585709,2.328083277,8.269872665
33.21479797,34.74144745,27.97016525,-1.504384398,37.53977203,-0.239536345,49.59438324,32.34684753,28.58175468,1.777049899,8.717851639
31.26368523,34.72052383,29.18924332,-1.503464818,41.27354813,-0.245949075,47.30727386,32.06111145,27.19098473,1.602864146,2.621112108
35.03868484,35.25605774,30.67335701,-1.502545238,40.84521103,-0.241156891,49.59955597,32.74515533,36.95167923,2.373813868,4.640971661
32.59331512,35.18715286,28.69783401,-1.501625776,39.38874435,-0.220416144,49.95497894,32.76242065,29.80052757,1.905418277,-1.140443325
33.01150894,35.04608536,33.23773956,-1.502544165,40.11768341,-0.246069118,51.55947876,32.59242249,34.36811447,2.347927809,10.24862385
33.5837822,35.2208519,38.64928436,-1.507138729,45.70675659,-0.245949075,49.59179306,32.38452911,30.865942,2.158769131,-0.982631385
35.9150238,35.69989014,30.22161102,-1.511733174,39.53790665,-0.258970052,50.50753784,33.06058121,32.03848267,2.089191437,13.78104305
33.39189529,35.44271469,32.97040176,-1.516327739,43.86574173,-0.257101536,48.00558472,32.8211441,30.65004349,1.984158874,1.776418805
33.58993912,35.38058472,29.22790718,-1.520922184,38.96530914,-0.252088785,48.80994034,32.75883484,30.19627953,1.952516794,12.25941181
34.93699646,35.59082031,30.39936638,-1.525516748,43.30012131,-0.253638774,49.88214111,33.00107193,34.55180359,2.154942274,-0.284069657
35.75114441,35.83550644,27.21715927,-1.530111313,37.38425446,-0.256799757,50.70424271,33.18505096,35.34841919,2.257595778,12.58430481
34.30334854,35.30882263,32.85840988,-1.534705758,38.68518829,-0.270203203,50.09935379,32.85401535,32.73289108,2.061069489,22.27921295
35.49970245,35.6601181,31.64811897,-1.533575654,39.11779404,-0.221264035,49.48809814,33.05120087,34.65194321,2.175083637,20.92746544
33.75910187,35.14293671,26.25403786,-1.525755405,36.69861221,-0.235069424,48.36412048,32.61623764,29.71367836,1.812098026,13.92322159
